"name","category","region","type","affiliated_with","designation_sources","page","type_1","type_2","description"
"Al Hijrateyn","Terror","South Asia, Russia","Media Wing","Islamic State","",1,"orgs","terror",NA
"Imbonerakure","Terror","Sub Saharan Africa","","","",1,"orgs","terror",NA
"Sharia 4 Network","Terror","Western Europe","","Al Mujajiroun, Islamic State","",1,"orgs","terror",NA
"1857 Media","Terror","South Asia","Media Wing","Al-Qa'ida in the Indian Subcontinent","",1,"orgs","terror",NA
"19HH","Terror","Western Europe","Media Wing","ISIS","",1,"orgs","terror",NA
"313 Brigade","Terror","South Asia","","","",1,"orgs","terror",NA
"3G Lojistik ve Havacilik Hizmetlari LTD","Terror","Turkey","","Islamic Revolutionary Corps Guard","SDGT",1,"orgs","terror",NA
"AAMAQ media","Terror","Middle East","Media Wing","Islamic State","",1,"orgs","terror",NA
"Abdul Hameed Shahab-ud-Din","Terror","Pakistan","","Lashkar-e Tayyiba","SDGT",1,"orgs","terror",NA
"Aero Skyone Co. Limited","Terror","","","Hezbollah","SDGT",1,"orgs","terror",NA
"Afaq Dubai","Terror","","","Islamic State","SDGT",1,"orgs","terror",NA
"Afri Belg Commercio E Industria LDA","Terror","","","Hezbollah","SDGT",1,"orgs","terror",NA
"Africa Middle East Investment Holding SAL","Terror","","","Hezbollah","SDGT",1,"orgs","terror",NA
"Aircraft, Avionics, Parts & Support LTD.","Terror","UK","","","SDGT",1,"orgs","terror",NA
"Al Khayr Supermarket","Terror","","","al-Qa'ida in the Arabian Peninsula","SDGT",1,"orgs","terror",NA
"Al Nour Radio","Terror","","","Hezbollah","SDGT",1,"orgs","terror",NA
"Al Rahmah Welfare Organization","Terror","Pakistan","","al Qaeda Central Command","SDGT",1,"orgs","terror",NA
"Al-Akhtar Trust International","Terror","Pakistan","","al Qaeda Central Command","SDGT",1,"orgs","terror",NA
"Al-Aqsa Foundation","Terror","","","","",1,"orgs","terror",NA
"Al-Aqsa Islamic Bank","Terror","","","Hamas","SDGT",1,"orgs","terror",NA
"Al-Ard Al-Jadidah Money Exchange Company","Terror","","","Islamic State","SDGT",1,"orgs","terror",NA
"Al-Bakoun Ala Al-Ahd Organization","Terror","","","al Qaeda Central Command","SDGT",1,"orgs","terror",NA
"Al-Bilad Islamic Bank for Investment and Finance P.S.C.","Terror","","","Islamic Revolutionary Corps Guard","SDGT",1,"orgs","terror",NA
"Al-Hamati Sweets Bakery","Terror","","","al Qaeda Central Command","SDGT",1,"orgs","terror",NA
"Al-Inmaa Engineering and Contracting","Terror","","","Hezbollah","SDGT",1,"orgs","terror",NA
"Al-Inmaa for Entertainment and Leisure Projects","Terror","","","Hezbollah","SDGT",1,"orgs","terror",NA
"Al-Itihaad Al-Islamiya","Terror","","","al Qaeda Central Command","SDGT",1,"orgs","terror",NA
"Al-Kawthar Money Exchange","Terror","","","Islamic State","SDGT",1,"orgs","terror",NA
"Al-Mutafaq Commercial Company","Terror","","","Islamic State","SDGT",1,"orgs","terror",NA
"Al-Naser Airlines","Terror","","","Islamic Revolutionary Corps Guard","SDGT",1,"orgs","terror",NA
"Al-Omgy and Brothers Money Exchange","Terror","","","al-Qa'ida in the Arabian Peninsula","SDGT",1,"orgs","terror",NA
"Al-Quds International Foundation","Terror","","","Hamas ","SDGT",2,"orgs","terror",NA
"Al-Salah Society","Terror","","","Hamas ","SDGT",2,"orgs","terror",NA
"Amigo Supermarket Limited","Terror","","","Hezbollah ","SDGT",2,"orgs","terror",NA
"Andisheh Mehvaran Investment Company","Terror","","","Islamic Revolutionary Corps Guard ","SDGT",2,"orgs","terror",NA
"Ansar Information Technology Company","Terror","","","Islamic Revolutionary Corps Guard ","SDGT",2,"orgs","terror",NA
"AQ Muslim Africa Foundation","Terror","Africa","Media Wing","Al-Qaeda in the Islamic Maghreb, al Qaeda Central Command","",2,"orgs","terror",NA
"Ar-Raajje","Terror","","Media Wing","Islamic State","",2,"orgs","terror",NA
"Arian Bank","Terror","Afghanistan","","Islamic Revolutionary Corps Guard ","SDGT",2,"orgs","terror",NA
"Armed Islamic Group","Terror","UK","","al Qaeda Central Command ","SDGT",2,"orgs","terror",NA
"Asian Aviation Logistics Company Limited","Terror","","","Islamic Revolutionary Corps Guard ","SDGT",2,"orgs","terror",NA
"Asma Money Exchangers","Terror","Pakistan","","Lashkar-e Tayyiba ","SDGT",2,"orgs","terror",NA
"Association de Secours Palestiniens","Terror","","","Hamas ","SDGT",2,"orgs","terror",NA
"Asyaf International Holding Group for Trading and Investment","Terror","","","Hamas ","SDGT",2,"orgs","terror",NA
"Atieh Sazan Day","Terror","","","Islamic Revolutionary Corps Guard ","SDGT",2,"orgs","terror",NA
"Atlas Doviz Ticareti A.S.","Terror","Turkey","","Islamic Revolutionary Corps Guard ","SDGT",2,"orgs","terror",NA
"Atlas Exchange","Terror","","","Islamic Revolutionary Corps Guard ","SDGT",2,"orgs","terror",NA
"Avia Trust FZE","Terror","","","Islamic Revolutionary Corps Guard ","SDGT",2,"orgs","terror",NA
"Aviation Capital Solutions LTD.","Terror","UK","","Islamic Revolutionary Corps Guard ","SDGT",2,"orgs","terror",NA
"Abaa News Agency","Terror","Middle East, North Africa","Media Wing","Hayyat Tahrir Al-Sham","",2,"orgs","terror",NA
"Abd al-Faqir Media","Terror","Middle East, North Africa","Media Wing","Islamic State","",2,"orgs","terror",NA
"Abdallah Azzam Brigades","Terror","Middle East, North Africa","","al Qaeda Central Command","",2,"orgs","terror",NA
"Abo Aous Al Ansari","Terror","Middle East, North Africa","Media Wing","Islamic State","",2,"orgs","terror",NA
"Abo Az-Zber Al Turky","Terror","Middle East, North Africa","Media Wing","Islamic State","",2,"orgs","terror",NA
"Abou Al Meqdam","Terror","Middle East, North Africa","Media Wing","Islamic State","",2,"orgs","terror",NA
"Abou Aous Al Muhajer","Terror","Middle East, North Africa","Media Wing","Islamic State","",2,"orgs","terror",NA
"Abu Ahmed Foundation","Terror","South Asia","","","",2,"orgs","terror",NA
"Abu Al-Abbas Brigades","Terror","Middle East","","al-Qa'ida in the Arabian Peninsula","",2,"orgs","terror",NA
"Abu Allaith","Terror","Middle East, North Africa","Media Wing","Islamic State","",2,"orgs","terror",NA
"Abu Bakr Al Turkmani","Terror","Middle East, North Africa","Media Wing","Islamic State","",2,"orgs","terror",NA
"Abu Hutn","Terror","","Media Wing","","",2,"orgs","terror",NA
"Abu Hutun Al Jinabi","Terror","","Media Wing","Islamic State","",2,"orgs","terror",NA
"Abu Sayyaf Group","Terror","South East Asia","","Islamic State","",2,"orgs","terror",NA
"Abu-Jihad","Terror","Middle East, North Africa","Media Wing","Islamic State","",2,"orgs","terror",NA
"Afaaq","Terror","Middle East, North Africa","","Islamic State","",2,"orgs","terror",NA
"Afriquia Al Mosslima","Terror","Middle East, North Africa","Media Wing","Al-Qaeda in the Islamic Maghreb, al Qaeda Central Command","",2,"orgs","terror",NA
"Afzal Guru Squad","Terror","South Asia","","Jaish-e-Mohammed Kashmir","",2,"orgs","terror",NA
"Ahlut-Tawhid","Terror","Middle East, North Africa","Media Wing","Islamic State","",2,"orgs","terror",NA
"Ahrar Al-Sharqiya","Terror","Middle East, North Africa","","","",2,"orgs","terror",NA
"Ahrar al Sham","Terror","Middle East, North Africa","","","",2,"orgs","terror",NA
"Ahwaal Ummat Media Center","Terror","South Asia","Media Wing","Islamic State","",2,"orgs","terror",NA
"Ajnad Kavkaz","Terror","Middle East, North Africa","","","",2,"orgs","terror",NA
"Ajnad Media","Terror","Middle East, North Africa","Media Wing","Islamic State","",2,"orgs","terror",NA
"Ajnad Misr","Terror","Middle East, North Africa","","","",2,"orgs","terror",NA
"Ajnad al Sham","Terror","Middle East, North Africa","","","",2,"orgs","terror",NA
"Ajnad al-Sham Islamic Union","Terror","Middle East, North Africa","","","",2,"orgs","terror",NA
"Al Guraba Media","Terror","South Asia","Media Wing","Islamic State","",3,"orgs","terror",NA
"Al Aahid Media Agency","Terror","Middle East, North Africa","Media Wing","Shura Council of Mujahideen Dema","",3,"orgs","terror",NA
"Al Alam Media","Terror","India","Media Wing","Ansar Ghazwat-Ul-Hind","",3,"orgs","terror",NA
"Al Andalus Media","Terror","Middle East, North Africa","Media Wing","Al-Qaeda in the Islamic Maghreb, al Qaeda Central Command","",3,"orgs","terror",NA
"Al Andaluzia Publicaciones","Terror","Western Europe","Media Wing","Islamic State","",3,"orgs","terror",NA
"Al Ansar Bank","Terror","Middle East, North Africa","","Islamic State","",3,"orgs","terror",NA
"Al Ansar Editor","Terror","Middle East, North Africa","Media Wing","Islamic State","",3,"orgs","terror",NA
"Al Aqsa Media","Terror","South Asia","Media Wing","Hizbul Mujahideen","",3,"orgs","terror",NA
"Al Aqsa TV","Terror","Middle East, North Africa","Media Wing","Hamas","",3,"orgs","terror",NA
"Al Asawarti Media","Terror","Middle East, North Africa","Media Wing","Islamic State","",3,"orgs","terror",NA
"Al Badr Media","Terror","Middle East, North Africa","Media Wing","al-Qa'ida in the Arabian Peninsula","",3,"orgs","terror",NA
"Al Baraa Al Hifawi","Terror","Middle East, North Africa","Media Wing","Islamic State","",3,"orgs","terror",NA
"Al Bashayer Foundation","Terror","Middle East, North Africa","Media Wing","al Qaeda Central Command","",3,"orgs","terror",NA
"Al Bayaan","Terror","Middle East, North Africa","Media Wing","al Qaeda Central Command","",3,"orgs","terror",NA
"Al Bayan Radio","Terror","Middle East, North Africa","Media Wing","Islamic State","",3,"orgs","terror",NA
"Al Burhan Media","Terror","Middle East, North Africa","Media Wing","Islamic State","",3,"orgs","terror",NA
"Al Burhan Media Foundation","Terror","","Media Wing","Islamic State","",3,"orgs","terror",NA
"Al Bushrayat","Terror","Middle East, North America","Media Wing","Islamic State","",3,"orgs","terror",NA
"Al Dar","Terror","Middle East, North Africa","Media Wing","Islamic State","",3,"orgs","terror",NA
"Al Ezza","Terror","Africa","Media Wing","Jama'al Nusrat al Islam wal-Muslimin, al Qaeda Central Command","",3,"orgs","terror",NA
"Al Farouq Media","Terror","South Asia","Media Wing","Ansar Al-Furqan, al Qaeda Central Command","",3,"orgs","terror",NA
"Al Fatihin Newspaper","Terror","Middle East, North Africa","Media Wing","Islamic State","",3,"orgs","terror",NA
"Al Forgan Cultural Network","Terror","Middle East, North Africa","Media Wing","Houthis","",3,"orgs","terror",NA
"Al Furqan Brigades","Terror","Middle East, North Africa","","","",3,"orgs","terror",NA
"Al Furqan Media","Terror","Middle East","Media Wing","Islamic State","",3,"orgs","terror",NA
"Al Fursan Brigades","Terror","Middle East, North Africa","Media Wing","al Qaeda Central Command","",3,"orgs","terror",NA
"Al Ghadowah","Terror","Middle East, North Africa","Media Wing","Islamic State","",3,"orgs","terror",NA
"Al Ghaliboun","Terror","","","Hezbollah","",3,"orgs","terror",NA
"Al Ghazi","Terror","South Asia","Media Wing","Taliban","",3,"orgs","terror",NA
"Al Haqiqa Media","Terror","Middle East, North Africa","Media Wing","Islamic State","",3,"orgs","terror",NA
"Al Hawareen Media Network","Terror","Middle East, North Africa","Media Wing","Houthis","",3,"orgs","terror",NA
"Al Hijra Bulletin","Terror","Middle East, North Africa","Media Wing","al Qaeda Central Command","",3,"orgs","terror",NA
"Al Hijrat Studio","Terror","South Asia","Media Wing","Taliban","",3,"orgs","terror",NA
"Al Himmath Media","Terror","","Media Wing","","",3,"orgs","terror",NA
"Al Huda","Terror","Middle East, North Africa","Media Wing","Islamic State","",3,"orgs","terror",NA
"Al Ikhlas Media","Terror","","Media Wing","","",3,"orgs","terror",NA
"Al Imam Al Hadi Foundation","Terror","Middle East, North Africa","","Houthis","",3,"orgs","terror",NA
"Al Isnad","Terror","Russia","Media Wing","al Qaeda Central Command","",3,"orgs","terror",NA
"Al Kataib Media","Terror","Africa","Media Wing","al-Shabaab, al Qaeda Central Command","",3,"orgs","terror",NA
"Al Khilafa's Tower","Terror","Middle East, North Africa","Media Wing","Islamic State","",3,"orgs","terror",NA
"Al Kifah Media","Terror","Africa","Media Wing","","",3,"orgs","terror",NA
"Al Mahdi Organization of Southern Tunisia","Terror","Middle East","","","",3,"orgs","terror",NA
"Al Mahmood Media","Terror","Afghanistan","Media Wing","Taliban","",3,"orgs","terror",NA
"Al Malahem Media","Terror","Middle East, North Africa","Media Wing","al-Qa'ida in the Arabian Peninsula, al Qaeda Central Command","",3,"orgs","terror",NA
"Al Malhama","Terror","Middle East, North Africa","Media Wing","al Qaeda Central Command","",3,"orgs","terror",NA
"Al Manarah al Bayda","Terror","Middle East, North Africa","Media Wing","al-Nusrah Front, al Qaeda Central Command","",4,"orgs","terror",NA
"Al Maseera TV","Terror","Middle East, North Africa","","","",4,"orgs","terror",NA
"Al Mashhad","Terror","","Media Wing","Hayyat Tahrir Al-Sham","",4,"orgs","terror",NA
"Al Menhaj","Terror","Middle East, North Africa","Media Wing","al Qaeda Central Command","",4,"orgs","terror",NA
"Al Minbar Al Ilami Al Jihadi","Terror","Middle East","Media Wing","Islamic State","",4,"orgs","terror",NA
"Al Mourabitoon","Terror","Middle East, North Africa","Media Wing","al Qaeda Central Command","",4,"orgs","terror",NA
"Al Muhajiroun","Terror","Western Europe","","Islamic State","",4,"orgs","terror",NA
"Al Muhajirun","Terror","Western Europe","Media Wing","","",4,"orgs","terror",NA
"Al Mujahid Media","Terror","South Asia","Media Wing","al Qaeda Central Command","",4,"orgs","terror",NA
"Al Murhifat","Terror","","Media Wing","Islamic State","",4,"orgs","terror",NA
"Al Muwahideen","Terror","Middle East, North Africa","Media Wing","al Qaeda Central Command","",4,"orgs","terror",NA
"Al Nams Reqavi","Terror","","Media Wing","Islamic State","",4,"orgs","terror",NA
"Al Nasr Bulletin","Terror","","Media Wing","Ansar Ghazwat-Ul-Hind, al Qaeda Central Command","",4,"orgs","terror",NA
"Al Nusra Almaq'dsya","Terror","Middle East, North Africa","Media Wing","Islamic State","",4,"orgs","terror",NA
"Al Oqab","Terror","","Media Wing","al Qaeda Central Command","",4,"orgs","terror",NA
"Al Qadeseya Foundation","Terror","Middle East, North Africa","Media Wing","Harkatul Muhajireer Sunna Iran","",4,"orgs","terror",NA
"Al Qarrar","Terror","South Asia","Media Wing","Islamic State","",4,"orgs","terror",NA
"Al Rased Al Falastini","Terror","Middle East, North Africa","Media Wing","Islamic State","",4,"orgs","terror",NA
"Al Rashid Trust","Terror","South Asia","","Jaish-e-Mohammed Kashmir, al Qaeda Central Command","",4,"orgs","terror",NA
"Al Rehmat Trust","Terror","South Asia","","Jaish-e-Mohammed Kashmir, al Qaeda Central Command","",4,"orgs","terror",NA
"Al Risala Magazine","Terror","Middle East, North Africa","Media Wing","al Qaeda Central Command","",4,"orgs","terror",NA
"Al Sahab Indian Subcontinent","Terror","South Asia","Media Wing","al Qa'ida in the Indian Subcontinent, al Qaeda Central Command","",4,"orgs","terror",NA
"Al Smood Magazine","Terror","South Asia","Media Wing","Taliban","",4,"orgs","terror",NA
"Al Taqwa Media","Terror","Middle East, North Africa","Media Wing","Islamic State","",4,"orgs","terror",NA
"Al Tibyan","Terror","Middle East, North Africa","Media Wing","Islamic State","",4,"orgs","terror",NA
"Al Umma Salafi Army In Beit Al Maqdis","Terror","Middle East, North Africa","","","",4,"orgs","terror",NA
"Al Waqar Media","Terror","Middle East, North Africa","Media Wing","Islamic State","",4,"orgs","terror",NA
"Al Fotooh","Terror","Middle East, North Africa","Media Wing","al Qaeda Central Command","",4,"orgs","terror",NA
"Al Wafa Media","Terror","South Asia","Media Wing","Islamic State","",4,"orgs","terror",NA
"Al Hikmah Media","Terror","Middle East, North Africa","Media Wing","Ansar Ghazwat-Ul-Hind, al Qaeda Central Command","",4,"orgs","terror",NA
"Al-Anfal Media","Terror","Middle East, North Africa","Media Wing","Islamic State","",4,"orgs","terror",NA
"Al-Adiyat Media Foundation","Terror","","Media Wing","Islamic State","",4,"orgs","terror",NA
"Al-Ahad Media","Terror","Middle East, North Africa","","Hezbollah","",4,"orgs","terror",NA
"Al-Ahad TV Channel","Terror","Middle East, North Africa","Media Wing","Asaib Ahl Haq","",4,"orgs","terror",NA
"Al-Ansar Media","Terror","South Asia","Media Wing","Taliban","",4,"orgs","terror",NA
"Al-Aqsa International Foundation","Terror","","","Hamas","",4,"orgs","terror",NA
"Al-Aqsa Martyrs Brigade","Terror","Middle East, North Africa","","","",4,"orgs","terror",NA
"Al-Aqsa Media Jammu & Kashmir","Terror","South Asia","Media Wing","Lashkar-e Tayyiba","",4,"orgs","terror",NA
"Al-Awali Media Foundation","Terror","","Media Wing","Hayyat Tahrir Al-Sham","",4,"orgs","terror",NA
"Al-Badr Mujahideen","Terror","India, Pakistan, South Asia","","","",4,"orgs","terror",NA
"Al-Balagh","Terror","South Asia","Media Wing","al Qaeda Central Command","",4,"orgs","terror",NA
"Al-Bashaarah Media","Terror","South Asia","Media Wing","al Qaeda Central Command","",4,"orgs","terror",NA
"Al-Buraq Media Foundation","Terror","Middle East, North Africa","Media Wing","Al-Tawhid Brigade","",4,"orgs","terror",NA
"Al-Elamiya Al-Khilafa","Terror","","Media Wing","Islamic State","",4,"orgs","terror",NA
"Al-Emara Jihadi Studio","Terror","South Asia","Media Wing","Taliban","",4,"orgs","terror",NA
"Al-Emdad Committee","Terror","","","Hezbollah","",5,"orgs","terror",NA
"Al-Etesam Media","Terror","Middle East, North Africa","Media Wing","Islamic State","",5,"orgs","terror",NA
"Al-Falah Magazine","Terror","Middle East, North Africa","Media Wing","al Qaeda Central Command","",5,"orgs","terror",NA
"Al-Fathiheen Foundation","Terror","","Media Wing","Islamic State","",5,"orgs","terror",NA
"Al-Forqan Media","Terror","Middle East, North Africa","Media Wing","Islamic State","",5,"orgs","terror",NA
"Al-Gama'a al-Islamiya","Terror","Middle East, North Africa","","al Qaeda Central Command","",5,"orgs","terror",NA
"Al-Ghazwa","Terror","Middle East, North Africa","Media Wing","Islamic State","",5,"orgs","terror",NA
"Al-Ghurabaa Magazine","Terror","Africa","","al-Shabaab, al Qaeda Central Command","",5,"orgs","terror",NA
"Al-Haramain Foundation","Terror","","","al Qaeda Central Command","",5,"orgs","terror",NA
"Al-Hayat Media","Terror","Middle East, North Africa","Media Wing","Islamic State","",5,"orgs","terror",NA
"Al-Hijra Media Foundation","Terror","Africa","Media Wing","al-Shabaab, al Qaeda Central Command","",5,"orgs","terror",NA
"Al-Hijrah Bulletin","Terror","Middle East, North Africa","Media Wing","al Qaeda Central Command","",5,"orgs","terror",NA
"Al-Hurr","Terror","South Asia","Media Wing","Ansar Ghazwat-Ul-Hind, al Qaeda Central Command","",5,"orgs","terror",NA
"Al-Imam Al-Mahdi Scouts","Terror","Middle East","","Hezbollah","",5,"orgs","terror",NA
"Al-Inmaa Group for Tourism Works","Terror","Middle East","","Hezbollah","",5,"orgs","terror",NA
"Al-Irbaad Media","Terror","","Media Wing","Islamic State","",5,"orgs","terror",NA
"Al-Izzah","Terror","Middle East, North Africa","Media Wing","Islamic State","",5,"orgs","terror",NA
"Al-Jabha Al-Majazyeh","Terror","Middle East, North Africa","","Hezbollah","",5,"orgs","terror",NA
"Al-Jawlani","Terror","","Media Wing","","",5,"orgs","terror",NA
"Al-Manar TV","Terror","Middle East, North Africa","Media Wing","Hezbollah","",5,"orgs","terror",NA
"Al-Masirah TV","Terror","Middle East, North Africa","Media Wing","Houthis","",5,"orgs","terror",NA
"Al-Mourabitoun","Terror","Africa","","Al-Qaeda in the Islamic Maghreb","",5,"orgs","terror",NA
"Al-Muhajir Media","Terror","Middle East","Media Wing","Islamic State","",5,"orgs","terror",NA
"Al-Mujahideen Brigades","Terror","Israel","","","",5,"orgs","terror",NA
"Al-Murasalat Foundation for Media Production","Terror","","Media Wing","Islamic State","",5,"orgs","terror",NA
"Al-Murhafat Media","Terror","Middle East","Media Wing","","",5,"orgs","terror",NA
"Al-Mursalat","Terror","","Media Wing","Islamic State","",5,"orgs","terror",NA
"Al-Mursalat Media","Terror","South Asia, Bangladesh, India","Media Wing","Islamic State","",5,"orgs","terror",NA
"Al-Naba News Bulletin","Terror","Middle East, North Africa","Media Wing","Islamic State","",5,"orgs","terror",NA
"Al-Nashir Media","Terror","Middle East, North Africa","Media Wing","Islamic State","",5,"orgs","terror",NA
"Al-Nasser Salah Al-Din Brigades","Terror","Middle East, North Africa","","","",5,"orgs","terror",NA
"Al-Nujaba Movement","Terror","Middle East, North Africa","","","",5,"orgs","terror",NA
"Al-Nujaba Satellite Channel","Terror","Middle East, North Africa","Media Wing","Al-Nujaba Movement","",5,"orgs","terror",NA
"Al-Qa'ida in the Indian Subcontinent","Terror","South Asia","","al Qaeda Central Command","",5,"orgs","terror",NA
"Al-Qaeda in the Islamic Maghreb","Terror","Middle East, North Africa","","al Qaeda Central Command","",5,"orgs","terror",NA
"Al-Qard Al-Hassan Association","Terror","","","Hezbollah","",5,"orgs","terror",NA
"Al-Quds Foundation","Terror","","","Hamas","",5,"orgs","terror",NA
"Al-Sadeqeen Media","Terror","South Asia","Media Wing","Taliban","",5,"orgs","terror",NA
"Al-Saqri Foundation","Terror","","Media Wing","Islamic State","",5,"orgs","terror",NA
"Al-Sindh Media","Terror","Middle East, North Africa","Media Wing","Islamic State","",5,"orgs","terror",NA
"Al-Tauba","Terror","Arabic","Media Wing","Islamic State","",5,"orgs","terror",NA
"Al-Tijara Media","Terror","Afghanistan","Media Wing","Islamic State of Iraq and the Levant Khorasan","",5,"orgs","terror",NA
"Al-Tuba Media","Terror","","Media Wing","Taliban","",5,"orgs","terror",NA
"Al-Umar Mujahideen","Terror","","","","",5,"orgs","terror",NA
"Al-Battar Media","Terror","Middle East, North Africa","Media Wing","Islamic State","",5,"orgs","terror",NA
"Al-Tahaya Media","Terror","Middle East, North Africa","Media Wing","al Qaeda Central Command","",6,"orgs","terror",NA
"Al-Waad","Terror","Middle East, North Africa","Media Wing","Islamic State","",6,"orgs","terror",NA
"Alazm Media Foundation","Terror","Middle East, North Africa","Media Wing","Islamic State","",6,"orgs","terror",NA
"Albanian National Army","Terror","Balkans","","","",6,"orgs","terror",NA
"Albaroud","Terror","Middle East, North Africa","Media Wing","Islamic State","",6,"orgs","terror",NA
"Albayyina Agency","Terror","Turkey","Media Wing","Islamic State","",6,"orgs","terror",NA
"Albenyan Radio","Terror","","Media Wing","Hayyat Tahrir Al-Sham","",6,"orgs","terror",NA
"Alghuraba","Terror","Middle East, North Africa","Media Wing","Islamic State","",6,"orgs","terror",NA
"Alitisam Media","Terror","","Media Wing","Islamic State","",6,"orgs","terror",NA
"All Tripura Tiger Force","Terror","South Asia, India","","","",6,"orgs","terror",NA
"Almalhama Magazine","Terror","Middle East, North Africa","Media Wing","Islamic State","",6,"orgs","terror",NA
"Almasra Newspaper","Terror","Middle East, North Africa","","","",6,"orgs","terror",NA
"Almuhajurun","Terror","Middle East, North Africa","Media Wing","","",6,"orgs","terror",NA
"Alsham Media","Terror","Middle East, North Africa","Media Wing","Islamic State","",6,"orgs","terror",NA
"Alwafa Media","Terror","South Asia","Media Wing","Taliban","",6,"orgs","terror",NA
"Amjad","Terror","Middle East, North Africa","Media Wing","Hayyat Tahrir Al-Sham","",6,"orgs","terror",NA
"Ammar","Terror","Africa","Media Wing","al-Shabaab","",6,"orgs","terror",NA
"An Nusra as Shaamiya","Terror","","Media Wing","Islamic State","",6,"orgs","terror",NA
"An-Nasr","Terror","South Asia","Media Wing","Ansar Ghazwat-Ul-Hind, al Qaeda Central Command","",6,"orgs","terror",NA
"An-Nusra Al-Kananya","Terror","Africa","Media Wing","Islamic State","",6,"orgs","terror",NA
"Aneen Al Samt For Media Production","Terror","Middle East, North Africa","Media Wing","Islamic State","",6,"orgs","terror",NA
"Ansaar Ad-Dawah","Terror","","Media Wing","Islamic State","",6,"orgs","terror",NA
"Ansar Al Khilafa","Terror","","Media Wing","","",6,"orgs","terror",NA
"Ansar Al Sharia Correspondents","Terror","Middle East, North Africa","Media Wing","al-Qa'ida in the Arabian Peninsula, Ansar al-Sharia in Tunisia","",6,"orgs","terror",NA
"Ansar Al Tawheed","Terror","Middle East, North Africa","","Hurras al-Din, al Qaeda Central Command","",6,"orgs","terror",NA
"Ansar Al-Furqan","Terror","South Asia","","","",6,"orgs","terror",NA
"Ansar AlKhelafa Europe","Terror","Western Europe","","Islamic State","",6,"orgs","terror",NA
"Ansar Bait al-Maqdis","Terror","Middle East, North Africa","","Islamic State","",6,"orgs","terror",NA
"Ansar Castle Foundation","Terror","Arabic","Media Wing","Islamic State","",6,"orgs","terror",NA
"Ansar Ghazwat-Ul-Hind","Terror","South Asia, Pakistan","","al Qaeda Central Command","",6,"orgs","terror",NA
"Ansar al-Deen Front","Terror","Middle East, North Africa","","Hayyat Tahrir Al-Sham","",6,"orgs","terror",NA
"Ansar al-Dine","Terror","Africa","","Jama'al Nusrat al Islam wal-Muslimin, al Qaeda Central Command","",6,"orgs","terror",NA
"Ansar al-Islam","Terror","Middle East, North Africa","","Islamic State","",6,"orgs","terror",NA
"Ansar al-Khilafah Philipines","Terror","South East Asia, Philippines","","Islamic State","",6,"orgs","terror",NA
"Ansar al-Shari'a in Benghazi","Terror","Middle East, North Africa","","al Qaeda Central Command","",6,"orgs","terror",NA
"Ansar al-Shari'a in Darnah","Terror","Middle East, North Africa","","al Qaeda Central Command","",6,"orgs","terror",NA
"Ansar al-Shari'a in Tunisia","Terror","Middle East, North Africa","","al Qaeda Central Command","",6,"orgs","terror",NA
"Ansar al-Sunna","Terror","","","","",6,"orgs","terror",NA
"Ansar ul Islam","Terror","","","","",6,"orgs","terror",NA
"Ansaru","Terror","Africa","","Jama'at Nusrat al-Islam wal-Musliman","",6,"orgs","terror",NA
"Ansaruddin","Terror","Middle East, North Africa","Media Wing","Islamic State","",6,"orgs","terror",NA
"Ansarullah Bangla","Terror","South Asia","","al Qaeda Central Command","",6,"orgs","terror",NA
"Arch Consulting","Terror","Middle East","","Hezbollah","",6,"orgs","terror",NA
"Armenian Secret Army for the Liberation of Armenia","Terror","Central Asia","","","",6,"orgs","terror",NA
"Army of God (terrorist org)","Terror","North America","","","",6,"orgs","terror",NA
"Army of Mujahedeen","Terror","Middle East, North Africa","","","",7,"orgs","terror",NA
"Arteshen Rizgariya Gelli Kurdistan","Terror","Turkey","","","",7,"orgs","terror",NA
"As Sahab","Terror","Middle East, North Africa","Media Wing","al Qaeda Central Command","",7,"orgs","terror",NA
"Asaib Ahl Haq","Terror","Middle East, North Africa","","","",7,"orgs","terror",NA
"Asawirti Media","Terror","","Media Wing","Islamic State","",7,"orgs","terror",NA
"Asbat al Ansar","Terror","Middle East, North Africa","","al Qaeda Central Command","",7,"orgs","terror",NA
"Asdaa","Terror","Middle East, North Africa","Media Wing","Islamic State","",7,"orgs","terror",NA
"Ash-Shaff Foundation","Terror","Middle East, North Africa","Media Wing","Islamic State","",7,"orgs","terror",NA
"Ashhad Media Foundation","Terror","Middle East, North Africa","Media Wing","Islamic State","",7,"orgs","terror",NA
"Askatasuna","Terror","Western Europe","","","",7,"orgs","terror",NA
"At Tamkeen","Terror","South Asia","Media Wing","Islamic State","",7,"orgs","terror",NA
"At Tibyan","Terror","Middle East, North Africa","Media Wing","Islamic State","",7,"orgs","terror",NA
"Atomwaffen Division","Terror","North America","","","",7,"orgs","terror",NA
"Attabat","Terror","","Media Wing","Islamic State","",7,"orgs","terror",NA
"Aum Shinrikyo","Terror","East Asia","","","",7,"orgs","terror",NA
"Autonomous Combat Terrorism Organization","Terror","Russia","","","",7,"orgs","terror",NA
"Ayouby Foundation","Terror","Middle East, North Africa","Media Wing","Islamic State","",7,"orgs","terror",NA
"Az-Zallaqua Media","Terror","Middle East, North Africa","Media Wing","Jama'at Nusrat al-Islam wal-Musliman","",7,"orgs","terror",NA
"Bahman Group","Terror","","","Islamic Revolutionary Corps Guard","SDGT",7,"orgs","terror",NA
